MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2011030801,1,1,1,0.000000,0,0,0,0,王皓,2,11,2,9,2,5,2,3,0,0,2,3
2011030801,1,1,2,20.776898,0,0,0,0,波尔,11,10,9,4,5,6,3,6,0,0,3,4
2011030801,1,1,3,21.315068,0,0,0,0,王皓,10,21,4,3,6,9,6,5,0,0,4,3
2011030801,1,1,4,21.974639,0,0,0,0,波尔,21,10,3,4,9,6,5,6,0,10,3,4
2011030801,1,1,5,22.458880,0,0,0,0,王皓,10,25,4,25,6,13,6,13,10,1,4,11
2011030801,1,2,1,24.391016,1,0,0,0,王皓,2,11,2,13,2,5,2,3,0,0,4,3
2011030801,1,2,2,36.108231,1,0,0,0,波尔,11,20,13,4,5,8,3,8,0,10,3,4
2011030801,1,2,3,36.644304,1,0,0,0,王皓,20,25,4,25,8,13,8,13,10,1,4,11
2011030801,1,3,1,37.241458,2,0,0,0,波尔,1,14,1,4,1,8,1,4,0,0,3,4
2011030801,1,3,2,51.087732,2,0,0,0,王皓,14,15,4,3,8,9,4,5,0,0,4,3
2011030801,1,3,3,51.607596,2,0,0,0,波尔,15,16,3,4,9,8,5,6,0,0,3,4
2011030801,1,3,4,52.147880,2,0,0,0,王皓,16,21,4,3,8,7,6,5,0,0,4,3
2011030801,1,3,5,52.700687,2,0,0,0,波尔,21,22,3,4,7,8,5,6,0,10,3,4
2011030801,1,3,6,53.262311,2,0,0,0,王皓,22,25,4,25,8,13,6,13,10,1,4,11
2011030801,1,4,1,53.838744,3,0,0,0,波尔,1,6,1,10,1,6,1,4,0,0,3,4
2011030801,1,4,2,67.938150,3,0,0,0,王皓,6,21,10,3,6,7,4,5,0,0,4,3
2011030801,1,4,3,68.628211,3,0,0,0,波尔,21,10,3,4,7,6,5,6,0,0,3,4
2011030801,1,4,4,69.026029,3,0,0,0,王皓,10,21,4,3,6,7,6,5,0,9,4,3
2011030801,1,4,5,70.093746,3,0,0,0,波尔,21,26,3,26,7,14,5,14,9,2,3,12
2011030801,1,5,1,70.530946,3,0,1,0,王皓,2,11,2,9,2,5,2,3,0,0,4,3
2011030801,1,5,2,83.970195,3,0,1,0,波尔,11,16,9,4,5,8,3,6,0,0,3,4
2011030801,1,5,3,84.792073,3,0,1,0,王皓,16,21,4,3,8,7,6,5,0,0,4,3
2011030801,1,5,4,85.205326,3,0,1,0,波尔,21,22,3,4,7,8,5,6,0,0,3,4
2011030801,1,5,5,85.723975,3,0,1,0,王皓,22,21,4,3,8,9,6,5,0,0,4,3
2011030801,1,5,6,86.248528,3,0,1,0,波尔,21,22,3,4,9,10,5,6,0,0,3,4
2011030801,1,5,7,87.013748,3,0,1,0,王皓,22,21,4,15,10,7,6,9,0,9,4,3
2011030801,1,5,8,87.013748,3,0,1,0,波尔,21,26,15,26,7,14,9,14,9,2,3,12
2011030801,1,6,1,90.956066,3,0,2,0,王皓,2,11,2,13,2,5,2,3,0,0,4,3
2011030801,1,6,2,97.775998,3,0,2,0,波尔,11,14,13,4,5,6,3,8,0,0,3,4
2011030801,1,6,3,98.300123,3,0,2,0,王皓,14,21,4,15,6,7,8,9,0,0,4,3
2011030801,1,6,4,98.928585,3,0,2,0,波尔,21,16,15,4,7,6,9,8,0,0,3,4
2011030801,1,6,5,99.444029,3,0,2,0,王皓,16,21,4,3,6,7,8,5,0,0,4,3
2011030801,1,6,6,100.148837,3,0,2,0,波尔,21,16,3,4,7,6,5,6,0,0,3,4
2011030801,1,6,7,100.711317,3,0,2,0,王皓,16,21,4,3,6,7,6,5,0,9,4,3
2011030801,1,6,8,101.416029,3,0,2,0,波尔,21,26,3,26,7,14,5,14,9,2,3,12
2011030801,1,7,1,102.292488,3,0,3,0,波尔,1,14,1,10,1,8,1,4,0,0,3,4
2011030801,1,7,2,121.559639,3,0,3,0,王皓,14,21,10,3,8,7,4,5,0,0,4,3
2011030801,1,7,3,122.185483,3,0,3,0,波尔,21,10,3,4,7,6,5,6,0,0,3,4
2011030801,1,7,4,122.528773,3,0,3,0,王皓,10,21,4,15,6,7,6,9,0,0,4,3
2011030801,1,7,5,122.982680,3,0,3,0,波尔,21,10,15,4,7,6,9,8,0,0,3,4
2011030801,1,7,6,123.474637,3,0,3,0,王皓,10,21,4,21,6,7,8,9,0,0,4,3
